TSTEP,Rh_litter,Rh_soil,Rh_total,C_litter,C_soil,C_total
3682,0.6626823,0.5538956,1.2165779,4.5067654,21.259434,25.7662
3683,0.8275185,0.6378524,1.4653709,4.5066395,21.259638,25.766277
3684,0.79509795,0.64339614,1.4384941,4.5065804,21.259802,25.766382
3685,0.76422167,0.6292925,1.3935142,4.5065823,21.259949,25.766531
3686,0.72279125,0.62567645,1.3484677,4.50667,21.260057,25.766727
3687,0.63561857,0.55578566,1.1914042,4.5069313,21.260147,25.767078
3688,0.6589128,0.55796385,1.2168766,4.507147,21.260258,25.767405
3689,0.6929937,0.577962,1.2709557,4.507292,21.260386,25.767677
3690,0.8003725,0.64093196,1.4413044,4.507221,21.260557,25.767778
3691,0.74585974,0.6303873,1.376247,4.5072594,21.260685,25.767944
3692,0.7479972,0.6295102,1.3775074,4.507292,21.260817,25.768108
3693,0.69860363,0.6109867,1.3095903,4.507427,21.260916,25.768343
3694,0.75917226,0.62542003,1.3845923,4.5074368,21.261063,25.7685
3695,0.85846305,0.6732998,1.5317628,4.507248,21.261263,25.76851
3696,0.8222849,0.6831016,1.5053865,4.5071316,21.261415,25.768547
3697,0.7715674,0.65286726,1.4244347,4.5071163,21.261549,25.768665
3698,0.89034027,0.7031823,1.5935225,4.5068626,21.261751,25.768614
3699,0.9636825,0.75063676,1.7143192,4.5064583,21.261982,25.76844
3700,0.98713106,0.7722526,1.7593837,4.5060062,21.262217,25.768223
3701,0.9983952,0.78721035,1.7856055,4.5055313,21.262447,25.767979
3702,0.8985996,0.75591576,1.6545154,4.5052605,21.262606,25.767866
3703,1.0503526,0.82277626,1.8731289,4.5046787,21.262856,25.767534
3704,1.0393171,0.8329263,1.8722434,4.50412,21.263083,25.767202
3705,0.8843887,0.77380466,1.6581933,4.5038757,21.26321,25.767086
3706,0.77295816,0.7023611,1.4753193,4.5038548,21.263296,25.76715
3707,0.83840626,0.72063524,1.5590415,4.503704,21.26343,25.767134
3708,0.9419294,0.7624672,1.7043966,4.50334,21.26363,25.76697
3709,0.99520844,0.7942459,1.7894543,4.5028687,21.263851,25.76672
3710,1.0269008,0.82292205,1.8498228,4.5023327,21.264078,25.76641
3711,1.0662522,0.85841477,1.924667,4.5017185,21.264309,25.766027
3712,0.99200314,0.8289744,1.8209776,4.501253,21.264494,25.765747
3713,0.9946852,0.8184782,1.8131634,4.500782,21.264692,25.765474
3714,1.0344839,0.83029646,1.8647803,4.500227,21.264921,25.765148
3715,1.1354198,0.8869521,2.022372,4.4994698,21.265196,25.764666
3716,1.2004604,0.9365275,2.136988,4.498579,21.26549,25.764069
3717,1.3024852,0.9991894,2.3016746,4.4974823,21.265825,25.763308
3718,1.3293866,1.0471493,2.376536,4.4963284,21.266142,25.76247
3719,1.5865836,1.1663053,2.752889,4.494652,21.266605,25.761257
3720,1.4924476,1.2049603,2.697408,4.493168,21.266932,25.7601
3721,1.3378208,1.1287489,2.4665697,4.491993,21.267178,25.75917
3722,1.3449693,1.1147714,2.4597406,4.4908047,21.267447,25.758251
3723,1.2290777,1.0690008,2.2980785,4.489851,21.267641,25.757492
3724,1.4405155,1.1209443,2.5614598,4.4884663,21.268003,25.75647
3725,1.4514341,1.1459329,2.597367,4.4870586,21.268353,25.755411
