TSTEP,LITTER_INPUT,LITTER_TEMP,LITTER_MOIST,SOIL_TEMP,SOIL_MOIST
976,1.0094598063740112,20.867645263671875,0.9659633636474609,19.27490234375,0.6662871837615967
977,1.0078029877872876,17.227569580078125,0.8712846636772156,17.74273681640625,0.7410380244255066
978,1.023207754447403,17.36553955078125,0.8216741681098938,17.26513671875,0.7988190650939941
979,1.038411363715034,18.7952880859375,0.7787721157073975,17.842376708984375,0.7907425165176392
980,1.053455491862585,19.931610107421875,0.7425222396850586,18.5128173828125,0.7815688252449036
981,1.0816609413270755,21.262725830078125,0.7113761305809021,19.35711669921875,0.7726625800132751
982,1.0968028958451939,21.9693603515625,0.684166431427002,20.08544921875,0.7635051012039185
983,1.0965429484910394,18.26470947265625,0.6632249355316162,18.928802490234375,0.7539682388305664
984,1.1129092339639042,14.553009033203125,0.6463021636009216,16.269805908203125,0.7461003065109253
985,1.1298137967326314,16.04449462890625,0.6295347809791565,16.243682861328125,0.7383104562759399
986,1.1455914268205705,17.776611328125,0.617996096611023,17.09649658203125,0.7304491996765137
987,1.1675655030785521,18.7921142578125,0.8683156967163086,17.883270263671875,0.6130197644233704
988,1.1685142846144068,18.936492919921875,0.9895322322845459,17.883880615234375,0.4231415092945099
989,1.1867522727533093,17.112518310546875,0.9327092170715332,17.080322265625,0.4740654230117798
990,1.2026448087713173,15.188720703125,0.86594557762146,16.243011474609375,0.5279156565666199
991,1.218350862405698,15.378173828125,0.9059701561927795,16.151092529296875,0.5531328916549683
992,1.2358162294384936,19.395263671875,0.978101372718811,17.292022705078125,0.5400791764259338
993,1.2508153386420626,18.302947998046875,0.9861088991165161,17.4012451171875,0.5045793056488037
994,1.2651425291074774,18.1290283203125,0.9967436194419861,17.32586669921875,0.49375131726264954
995,1.2813231652517354,15.217620849609375,0.9638382792472839,16.323822021484375,0.4772912561893463
996,1.3008365205553416,11.65460205078125,0.8851587176322937,14.496246337890625,0.5364157557487488
997,1.319903344258922,12.537872314453125,0.8409249186515808,14.391265869140625,0.5847340822219849
998,1.3353635969119932,13.51373291015625,0.833737313747406,14.647613525390625,0.6156378388404846
999,1.3467131868735922,13.721343994140625,0.9996167421340942,14.510162353515625,0.4075372815132141
1000,1.3635969189677075,15.06695556640625,0.9844361543655396,15.024566650390625,0.3232549726963043
1001,1.3810899523843423,11.6795654296875,0.9258859753608704,13.4398193359375,0.3468712270259857
1002,1.4020082964816383,13.85626220703125,0.8755151629447937,14.071563720703125,0.37073251605033875
1003,1.4225297557550582,15.7034912109375,0.8457186222076416,14.9073486328125,0.38895002007484436
1004,1.4397559977639243,16.765472412109375,0.8995087742805481,15.600189208984375,0.39496028423309326
1005,1.456932405306443,16.681915283203125,0.9940071702003479,15.839630126953125,0.3906850218772888
1006,1.4737787101339181,17.413482666015625,0.9937629103660583,15.990753173828125,0.39723697304725647
1007,1.4930868389596266,16.515899658203125,0.8529205322265625,16.035064697265625,0.8433408737182617
1008,1.5115339027700454,12.565216064453125,0.7289394736289978,13.83135986328125,0.9873034358024597
1009,1.5317033642911575,11.927490234375,0.787442684173584,13.270721435546875,0.9811365604400635
1010,1.549981042088695,9.70159912109375,0.596983015537262,11.6580810546875,0.9793339967727661
1011,1.5686322592037496,9.886077880859375,0.5382012128829956,11.259185791015625,0.975193977355957
1012,1.5900223298970295,11.925933837890625,0.5303806662559509,12.1268310546875,0.9716416597366333
